trip_distance,fare_amount,winter,spring,summer,fall,PULongitude,PULatitude,DOLongitude,DOLatitude,pickup_datetime,dropoff_datetime,ride_duration,Early morning,Morning,Afternoon,Night,Holiday Proximity,label
5.24,21.5,1,0,0,0,-73.9986779466048,40.7286117315904,-73.9512079916544,40.7784958687768,2019-01-07 22:46:48,2019-01-07 23:14:24,0 days 00:27:36.000000000,0,0,0,1,0,H
1.0,6.5,0,1,0,0,-73.9656914919459,40.7685418846646,-73.9569723853064,40.7804914757347,2019-03-14 15:07:58,2019-03-14 15:15:02,0 days 00:07:04.000000000,0,0,1,0,0,B
2.6,15.0,0,1,0,0,-73.9938994033218,40.766692374666796,-73.9656914919459,40.7685418846646,2019-04-07 15:23:34,2019-04-07 15:45:26,0 days 00:21:52.000000000,0,0,1,0,0,F
1.73,9.0,0,0,1,0,-73.98135241373991,40.7739059853886,-73.9656914919459,40.7685418846646,2019-07-19 09:11:20,2019-07-19 09:22:26,0 days 00:11:06.000000000,0,1,0,0,0,C
2.04,8.5,1,0,0,0,-73.9769419924356,40.7476542811031,-73.9986779466048,40.7286117315904,2019-01-16 23:03:40,2019-01-16 23:11:30,0 days 00:07:50.000000000,0,0,0,1,1,C
16.0,44.0,0,0,1,0,-73.77826365890199,40.64260452171779,-73.9591078838642,40.7109771296904,2019-08-03 00:42:36,2019-08-03 01:11:29,0 days 00:28:53.000000000,1,0,0,0,0,J
2.15,10.0,0,0,0,1,-73.9904776189691,40.7403134645878,-73.98135241373991,40.7739059853886,2019-11-19 19:52:26,2019-11-19 20:03:58,0 days 00:11:32.000000000,0,0,0,0,0,D
4.7,17.5,0,1,0,0,-73.9769419924356,40.7476542811031,-73.9504104879777,40.761167913907705,2019-03-17 15:11:21,2019-03-17 15:30:29,0 days 00:19:08.000000000,0,0,1,0,0,G
1.07,8.0,0,0,1,0,-73.99245532771059,40.748476361761796,-73.9769419924356,40.7476542811031,2019-08-24 10:16:17,2019-08-24 10:25:43,0 days 00:09:26.000000000,0,1,0,0,0,C
9.99,30.0,0,0,0,1,-73.77826365890199,40.64260452171779,-73.94128202922141,40.6738428461316,2019-11-16 09:53:38,2019-11-16 10:17:18,0 days 00:23:40.000000000,0,1,0,0,0,J
0.52,5.5,0,0,0,1,-73.9569723853064,40.7804914757347,-73.96557217995941,40.7824597386361,2019-10-16 09:46:08,2019-10-16 09:51:52,0 days 00:05:44.000000000,0,1,0,0,0,B
0.66,4.5,0,0,1,0,-73.9678083909732,40.797866268004,-73.9655685290937,40.8020327729942,2019-08-30 08:59:40,2019-08-30 09:02:58,0 days 00:03:18.000000000,0,1,0,0,0,A
1.44,14.5,1,0,0,0,-73.9841761608222,40.759844740029294,-73.99245532771059,40.748476361761796,2019-12-15 19:07:21,2019-12-15 19:31:54,0 days 00:24:33.000000000,0,0,0,0,0,E
0.85,5.5,0,0,0,1,-74.0071756920052,40.7253763405368,-74.00671162438991,40.718695641007706,2019-11-05 09:53:30,2019-11-05 09:58:59,0 days 00:05:29.000000000,0,1,0,0,0,B
1.28,7.0,1,0,0,0,-73.9656914919459,40.7685418846646,-73.9774318381095,40.758226481221705,2019-12-08 21:40:14,2019-12-08 21:47:47,0 days 00:07:33.000000000,0,0,0,0,0,B
0.6,5.5,0,1,0,0,-73.9898566508315,40.7622367556144,-73.98135241373991,40.7739059853886,2019-03-01 11:51:01,2019-03-01 11:56:32,0 days 00:05:31.000000000,0,1,0,0,0,B
2.73,13.0,0,0,0,1,-73.9898566508315,40.7622367556144,-73.9597126787805,40.7668388165846,2019-10-18 15:37:45,2019-10-18 15:54:42,0 days 00:16:57.000000000,0,0,1,0,0,E
1.0,7.0,0,1,0,0,-73.9852141243977,40.7279442789046,-74.00249690862721,40.734611555981395,2019-04-02 07:51:46,2019-04-02 08:00:46,0 days 00:09:00.000000000,0,1,0,0,0,B
1.38,8.5,0,1,0,0,-73.9769419924356,40.7476542811031,-73.97836698802041,40.7644254534051,2019-05-28 13:49:21,2019-05-28 14:00:01,0 days 00:10:40.000000000,0,0,1,0,0,C
1.46,8.5,0,0,0,1,-73.9769419924356,40.7476542811031,-73.9852141243977,40.7279442789046,2019-09-05 17:55:03,2019-09-05 18:04:49,0 days 00:09:46.000000000,0,0,1,0,1,C
1.86,9.0,0,0,0,1,-74.0083857570117,40.735248066679,-74.004512572075,40.7524372519647,2019-10-15 14:24:02,2019-10-15 14:32:47,0 days 00:08:45.000000000,0,0,1,0,0,C
